discounted_reward,final_state_type,free_space_estimate,git_commit_id,hist_validation_hash,i_run,median_planning_time,median_prediction_time,median_updater_time,n_close,n_steps,pi_key,planner_hbm_key,simulation_hbm_key,solver_setup_key,undiscounted_reward,combined_median_time,normalized_discounted_reward
-56.13824981900886,success,-23.765728565289617,dcdd3e8ad0162d692145134a64a0b81109e09d93,16513103657198893e3,523,0.034312,0.0121269595,0.009709062,0,82,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-82,0.0561480215,-32.37252125371924
-56.13824981900886,success,-33.771795901601614,dcdd3e8ad0162d692145134a64a0b81109e09d93,1134171927539807700,543,0.3105336055,0,0.009804751,0,82,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-82,0.3203383565,-22.36645391740725
-118.22074829398767,success,-33.771795901601614,dcdd3e8ad0162d692145134a64a0b81109e09d93,9866015827889594e3,543,0.003994668,0.01178119,0.010268216,5,73,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-173,0.026044074,-84.44895239238605
-45.28433576092383,success,-32.42709509397165,dcdd3e8ad0162d692145134a64a0b81109e09d93,15991857414452177e3,563,0.27491574799999996,0,0.009192664,0,60,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-60,0.284108412,-12.85724066695218
-48.48628825761961,success,-32.42709509397165,dcdd3e8ad0162d692145134a64a0b81109e09d93,17002054116428356e3,563,0.005329798,0.0121768335,0.0102661145,0,66,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-66,0.027772745999999997,-16.05919316364796
-37.64746051087996,success,-32.42709509397165,dcdd3e8ad0162d692145134a64a0b81109e09d93,12362526285769558e3,583,0.281340911,0,0.010354171,0,47,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-47,0.29169508200000005,-5.220365416908308
-37.64746051087996,success,-32.42709509397165,dcdd3e8ad0162d692145134a64a0b81109e09d93,14070579796798192e3,583,0.002137453,0.011487299,0.009037623,0,47,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-47,0.022662375000000002,-5.220365416908308
-40.703355359850015,success,-30.35867819504261,dcdd3e8ad0162d692145134a64a0b81109e09d93,15179328726248407e3,603,0.2580222215,0,0.008924976,0,52,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-52,0.26694719749999996,-10.344677164807404
-40.703355359850015,success,-30.35867819504261,dcdd3e8ad0162d692145134a64a0b81109e09d93,14190125367166378e3,603,0.0020760975,0.0117583385,0.0095406205,0,52,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-52,0.023375056499999998,-10.344677164807404
-45.83149240331459,success,-38.88827604671346,dcdd3e8ad0162d692145134a64a0b81109e09d93,8056588896930714e3,623,0.298908792,0,0.00957357,0,61,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-61,0.30848236199999995,-6.943216356601134
-49.51141112129298,success,-38.88827604671346,dcdd3e8ad0162d692145134a64a0b81109e09d93,8457624483509969e3,623,0.060890797499999996,0.0118558255,0.009666533,0,68,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-68,0.08241315599999999,-10.623135074579523
-43.03987975228404,success,-34.434077942585596,dcdd3e8ad0162d692145134a64a0b81109e09d93,1322981595180789e4,643,0.290268638,0,0.0098514285,0,56,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-56,0.3001200665,-8.605801809698441
-41.883358588189,success,-34.434077942585596,dcdd3e8ad0162d692145134a64a0b81109e09d93,17843755401719667e3,643,0.0034886629999999995,0.011722841500000001,0.009871898,0,54,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-54,0.0250834025,-7.449280645603402
-38.27098590577116,success,-27.501966404214624,dcdd3e8ad0162d692145134a64a0b81109e09d93,9607979475918297e3,663,0.28717013599999996,0,0.009746236,0,48,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-48,0.296916372,-10.769019501556539
-43.03987975228404,success,-27.501966404214624,dcdd3e8ad0162d692145134a64a0b81109e09d93,2670608964913745e3,663,0.01697142,0.011924226,0.0097113215,0,56,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-56,0.0386069675,-15.537913348069413
-38.88827604671345,success,-29.655230500043043,dcdd3e8ad0162d692145134a64a0b81109e09d93,15955286117023554e3,683,0.270015166,0,0.009764973,0,49,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-49,0.279780139,-9.233045546670407
-82.95035875329178,success,-29.655230500043043,dcdd3e8ad0162d692145134a64a0b81109e09d93,1365683343145661e3,683,0.018393535,0.012173607,0.010562667,3,57,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-117,0.041129809,-53.295128253248734
-44.173386145213584,success,-29.655230500043043,dcdd3e8ad0162d692145134a64a0b81109e09d93,7574924622516645e3,703,0.2787560265,0,0.010089062999999999,0,58,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-58,0.2888450895,-14.518155645170541
-40.104399353383855,success,-29.655230500043043,dcdd3e8ad0162d692145134a64a0b81109e09d93,10573741965265867e3,703,0.002101392,0.011926127,0.009391901,0,51,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-51,0.02341942,-10.449168853340812
-27.50196640421462,success,-17.383137616441324,dcdd3e8ad0162d692145134a64a0b81109e09d93,14374707454274484e3,723,0.2306062525,0,0.010066849499999999,0,32,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-32,0.240673102,-10.118828787773296
-26.769663034560224,success,-17.383137616441324,dcdd3e8ad0162d692145134a64a0b81109e09d93,1193860332601787e4,723,0.002249386,0.011811213,0.008943694,0,31,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-31,0.023004293,-9.3865254181189
-41.883358588189,success,-17.383137616441324,dcdd3e8ad0162d692145134a64a0b81109e09d93,16656673777135262e3,743,0.2450244665,0,0.0098705485,0,54,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-54,0.254895015,-24.500220971747673
-38.88827604671345,success,-17.383137616441324,dcdd3e8ad0162d692145134a64a0b81109e09d93,539771431916565060,743,0.175157942,0.012138681,0.010263065,0,49,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-49,0.197559688,-21.505138430272126
-28.226946740172473,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,4364142831864490500,763,0.26616172,0,0.009551412,0,33,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-33,0.27571313199999997,-7.588375104538031
-26.029962661171943,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,16638302256791704e3,763,0.002127066,0.0117529825,0.008959665499999998,0,30,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-30,0.022839714,-5.3913910255375015
-217.26581264356304,success,-19.02721317787414,dcdd3e8ad0162d692145134a64a0b81109e09d93,1197661520702505e4,783,0.2406684315,0,0.009543620499999999,10,30,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-230,0.250212052,-198.2385994656889
